SYSTEM," ""1"""," ""SYSTEM"""," ""System Start"""," """"",,,
main," ""117"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fForegrounds=null""",,
main," ""118"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""119"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," drawingViewSerializedDataVersion=1""",,
main," ""120"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""121"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fEditor=CH.ifa.draw.samples.javadraw.JavaDrawApp:1""",,
main," ""122"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""123"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fViewSize=java.awt.Dimension (id=152)""",,
main," ""124"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""125"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fLastClick=java.awt.Point (id=153)""",,
main," ""126"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""127"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fConstrainer=null""",,
main," ""128"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""129"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fSelection=java.util.Vector (id=156)""",,
main," ""130"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""131"""," ""SYSTEM"""," ""Type Load"""," ""class=CH.ifa.draw.standard.BufferedUpdateStrategy""",,,
main," ""132"""," ""SYSTEM"""," ""New Object"""," ""object=CH.ifa.draw.standard.BufferedUpdateStrategy:1""",,,
main," ""133"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1"," target=CH.ifa.draw.standard.BufferedUpdateStrategy:1#BufferedUpdateStrategy:1""",,
main," ""134"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""135"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""136"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""137"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.BufferedUpdateStrategy:1"," fImagewidth=-1""",,
main," ""138"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""139"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.BufferedUpdateStrategy:1"," fImageheight=-1""",,
main," ""140"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""141"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.BufferedUpdateStrategy:1"," bufferedUpdateSerializedDataVersion=1""",,
main," ""142"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""143"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.standard.BufferedUpdateStrategy:1#BufferedUpdateStrategy:1"," value=<void>""",,
main," ""144"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""145"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
