"SYSTEM", "1", "SYSTEM", "System Start", ""
"main", "221", "PatternIteratorImpl.java:15", "Field Write", "context=PatternIteratorImpl:1, position=1"
"main", "222", "PatternIteratorImpl.java:16", "Line Step", "file=PatternIteratorImpl.java, line=16"
"main", "223", "PatternIteratorImpl.java:16", "Field Read", "context=PatternIteratorImpl:1, designPattern"
"main", "224", "PatternIteratorImpl.java:16", "Variable Write", "context=PatternIteratorImpl:1#nextPattern:1, result=DesignPattern:1"
"main", "225", "PatternIteratorImpl.java:16", "Method Exit", "returner=PatternIteratorImpl:1#nextPattern:1, value=DesignPattern:1"
"main", "226", "PatternAggregateImplTest.java:27", "Method Returned", ""
"main", "227", "PatternAggregateImplTest.java:27", "Line Step", "file=PatternAggregateImplTest.java, line=27"
"main", "228", "PatternAggregateImplTest.java:27", "Variable Write", "context=PatternAggregateImplTest#printPatterns:1, designPattern=DesignPattern:1"
"main", "229", "PatternAggregateImplTest.java:28", "Line Step", "file=PatternAggregateImplTest.java, line=28"
"main", "230", "PatternAggregateImplTest.java:28", "Method Call", "caller=PatternAggregateImplTest#printPatterns:1, target=DesignPattern:1#getPatternType:1"
"main", "231", "DesignPattern.java:9", "Method Entered", ""
"main", "232", "DesignPattern.java:10", "Line Step", "file=DesignPattern.java, line=10"
"main", "233", "DesignPattern.java:10", "Field Read", "context=DesignPattern:1, patternType"
"main", "234", "DesignPattern.java:10", "Variable Write", "context=DesignPattern:1#getPatternType:1, result=""Creational"""
"main", "235", "DesignPattern.java:10", "Method Exit", "returner=DesignPattern:1#getPatternType:1, value=""Creational"""
"main", "236", "PatternAggregateImplTest.java:28", "Method Returned", ""
"main", "237", "PatternAggregateImplTest.java:28", "Line Step", "file=PatternAggregateImplTest.java, line=28"
"main", "238", "PatternAggregateImplTest.java:28", "Method Call", "caller=PatternAggregateImplTest#printPatterns:1, target=DesignPattern:1#getPatternName:1"
"main", "239", "DesignPattern.java:12", "Method Entered", ""
"main", "240", "DesignPattern.java:13", "Line Step", "file=DesignPattern.java, line=13"
"main", "241", "DesignPattern.java:13", "Field Read", "context=DesignPattern:1, patternName"
"main", "242", "DesignPattern.java:13", "Variable Write", "context=DesignPattern:1#getPatternName:1, result=""Factory Method"""
"main", "243", "DesignPattern.java:13", "Method Exit", "returner=DesignPattern:1#getPatternName:1, value=""Factory Method"""
"main", "244", "PatternAggregateImplTest.java:28", "Method Returned", ""
"main", "245", "PatternAggregateImplTest.java:28", "Line Step", "file=PatternAggregateImplTest.java, line=28"
"main", "246", "PatternAggregateImplTest.java:26", "Line Step", "file=PatternAggregateImplTest.java, line=26"
"main", "247", "PatternAggregateImplTest.java:26", "Method Call", "caller=PatternAggregateImplTest#printPatterns:1, target=PatternIteratorImpl:1#isLastPattern:2"
"main", "248", "PatternIteratorImpl.java:19", "Method Entered", ""
"main", "249", "PatternIteratorImpl.java:20", "Line Step", "file=PatternIteratorImpl.java, line=20"
"main", "250", "PatternIteratorImpl.java:20", "Field Read", "context=PatternIteratorImpl:1, position"
"main", "251", "PatternIteratorImpl.java:20", "Field Read", "context=PatternIteratorImpl:1, patternList"
"main", "252", "PatternIteratorImpl.java:21", "Line Step", "file=PatternIteratorImpl.java, line=21"
"main", "253", "PatternIteratorImpl.java:21", "Variable Write", "context=PatternIteratorImpl:1#isLastPattern:2, result=false"
"main", "254", "PatternIteratorImpl.java:21", "Method Exit", "returner=PatternIteratorImpl:1#isLastPattern:2, value=false"
"main", "255", "PatternAggregateImplTest.java:26", "Method Returned", ""
"main", "256", "PatternAggregateImplTest.java:26", "Line Step", "file=PatternAggregateImplTest.java, line=26"
"main", "257", "PatternAggregateImplTest.java:26", "Variable Delete", "method=PatternAggregateImplTest#printPatterns:1 <name=designPattern,type=DesignPattern (id=91),value=<?>,index=2>"
"main", "258", "PatternAggregateImplTest.java:27", "Line Step", "file=PatternAggregateImplTest.java, line=27"
"main", "259", "PatternAggregateImplTest.java:27", "Method Call", "caller=PatternAggregateImplTest#printPatterns:1, target=PatternIteratorImpl:1#nextPattern:2"
"main", "260", "PatternIteratorImpl.java:12", "Method Entered", ""
"main", "261", "PatternIteratorImpl.java:13", "Line Step", "file=PatternIteratorImpl.java, line=13"
"main", "262", "PatternIteratorImpl.java:13", "Field Read", "context=PatternIteratorImpl:1, position"
"main", "263", "PatternIteratorImpl.java:14", "Line Step", "file=PatternIteratorImpl.java, line=14"
"main", "264", "PatternIteratorImpl.java:14", "Field Read", "context=PatternIteratorImpl:1, patternList"
"main", "265", "PatternIteratorImpl.java:14", "Field Read", "context=PatternIteratorImpl:1, position"
"main", "266", "PatternIteratorImpl.java:14", "Field Write", "context=PatternIteratorImpl:1, designPattern=DesignPattern:2"
"main", "267", "PatternIteratorImpl.java:15", "Line Step", "file=PatternIteratorImpl.java, line=15"
"main", "268", "PatternIteratorImpl.java:15", "Field Read", "context=PatternIteratorImpl:1, position"
"main", "269", "PatternIteratorImpl.java:15", "Field Write", "context=PatternIteratorImpl:1, position=2"
"main", "270", "PatternIteratorImpl.java:16", "Line Step", "file=PatternIteratorImpl.java, line=16"
"main", "271", "PatternIteratorImpl.java:16", "Field Read", "context=PatternIteratorImpl:1, designPattern"
