"main", "148", "EmpOriginatorTest.java:11", "Variable Write", "context=EmpOriginatorTest#main:1, empMemento=EmpMemento:2"
"main", "149", "EmpOriginatorTest.java:12", "Line Step", "file=EmpOriginatorTest.java, line=12"
"main", "150", "EmpOriginatorTest.java:12", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpCaretaker:1#addMemento:2"
"main", "151", "EmpCaretaker.java:12", "Method Entered", ""
"main", "152", "EmpCaretaker.java:12", "Variable Write", "context=EmpCaretaker:1#addMemento:2, memento=EmpMemento:2"
"main", "153", "EmpCaretaker.java:14", "Line Step", "file=EmpCaretaker.java, line=14"
"main", "154", "EmpCaretaker.java:14", "Field Read", "context=EmpCaretaker:1, mementos"
"main", "155", "EmpCaretaker.java:15", "Line Step", "file=EmpCaretaker.java, line=15"
"main", "156", "EmpCaretaker.java:15", "Method Exit", "returner=EmpCaretaker:1#addMemento:2, value=<void>"
"main", "157", "EmpOriginatorTest.java:12", "Method Returned", ""
"main", "158", "EmpOriginatorTest.java:13", "Line Step", "file=EmpOriginatorTest.java, line=13"
"main", "159", "EmpOriginatorTest.java:13", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpOriginator:1#printInfo:2"
"main", "160", "EmpOriginator.java:48", "Method Entered", ""
"main", "161", "EmpOriginator.java:50", "Line Step", "file=EmpOriginator.java, line=50"
"main", "162", "EmpOriginator.java:50", "Field Read", "context=EmpOriginator:1, empId"
"main", "163", "EmpOriginator.java:51", "Line Step", "file=EmpOriginator.java, line=51"
"main", "164", "EmpOriginator.java:51", "Field Read", "context=EmpOriginator:1, empName"
"main", "165", "EmpOriginator.java:52", "Line Step", "file=EmpOriginator.java, line=52"
"main", "166", "EmpOriginator.java:52", "Field Read", "context=EmpOriginator:1, empPhoneNo"
"main", "167", "EmpOriginator.java:53", "Line Step", "file=EmpOriginator.java, line=53"
"main", "168", "EmpOriginator.java:53", "Field Read", "context=EmpOriginator:1, empDesignation"
"main", "169", "EmpOriginator.java:54", "Line Step", "file=EmpOriginator.java, line=54"
"main", "170", "EmpOriginator.java:54", "Method Exit", "returner=EmpOriginator:1#printInfo:2, value=<void>"
"main", "171", "EmpOriginatorTest.java:13", "Method Returned", ""
"main", "172", "EmpOriginatorTest.java:14", "Line Step", "file=EmpOriginatorTest.java, line=14"
"main", "173", "EmpOriginatorTest.java:15", "Line Step", "file=EmpOriginatorTest.java, line=15"
"main", "174", "EmpOriginatorTest.java:15", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpOriginator:1#setEmpDesignation:1"
"main", "175", "EmpOriginator.java:34", "Method Entered", ""
"main", "176", "EmpOriginator.java:34", "Variable Write", "context=EmpOriginator:1#setEmpDesignation:1, empDesignation=""Senior Sales Manager"""
"main", "177", "EmpOriginator.java:35", "Line Step", "file=EmpOriginator.java, line=35"
"main", "178", "EmpOriginator.java:35", "Field Write", "context=EmpOriginator:1, empDesignation=""Senior Sales Manager"""
"main", "179", "EmpOriginator.java:36", "Line Step", "file=EmpOriginator.java, line=36"
"main", "180", "EmpOriginator.java:36", "Method Exit", "returner=EmpOriginator:1#setEmpDesignation:1, value=<void>"
"main", "181", "EmpOriginatorTest.java:15", "Method Returned", ""
"main", "182", "EmpOriginatorTest.java:16", "Line Step", "file=EmpOriginatorTest.java, line=16"
"main", "183", "EmpOriginatorTest.java:16", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpOriginator:1#saveToMemento:3"
"main", "184", "EmpOriginator.java:37", "Method Entered", ""
"main", "185", "EmpOriginator.java:38", "Line Step", "file=EmpOriginator.java, line=38"
"main", "186", "EmpOriginator.java:38", "Field Read", "context=EmpOriginator:1, empId"
"main", "187", "EmpOriginator.java:38", "Field Read", "context=EmpOriginator:1, empName"
"main", "188", "EmpOriginator.java:38", "Field Read", "context=EmpOriginator:1, empPhoneNo"
"main", "189", "EmpOriginator.java:38", "Field Read", "context=EmpOriginator:1, empDesignation"
"main", "190", "EmpOriginator.java:38", "New Object", "object=EmpMemento:3"
"main", "191", "EmpOriginator.java:38", "Method Call", "caller=EmpOriginator:1#saveToMemento:3, target=EmpMemento:3#EmpMemento:3"
"main", "192", "EmpMemento.java:6", "Method Entered", ""
"main", "193", "EmpMemento.java:6", "Variable Write", "context=EmpMemento:3#EmpMemento:3, empId=306"
"main", "194", "EmpMemento.java:6", "Variable Write", "context=EmpMemento:3#EmpMemento:3, empPhoneNo=""131011888886"""
"main", "195", "EmpMemento.java:6", "Variable Write", "context=EmpMemento:3#EmpMemento:3, empName=""Mark Ferguson"""
"main", "196", "EmpMemento.java:6", "Variable Write", "context=EmpMemento:3#EmpMemento:3, empDesignation=""Senior Sales Manager"""
"main", "197", "EmpMemento.java:6", "Line Step", "file=EmpMemento.java, line=6"
"main", "198", "EmpMemento.java:7", "Line Step", "file=EmpMemento.java, line=7"
"main", "199", "EmpMemento.java:7", "Field Write", "context=EmpMemento:3, empId=306"
"main", "200", "EmpMemento.java:8", "Line Step", "file=EmpMemento.java, line=8"
"main", "201", "EmpMemento.java:8", "Field Write", "context=EmpMemento:3, empName=""Mark Ferguson"""
"main", "202", "EmpMemento.java:9", "Line Step", "file=EmpMemento.java, line=9"
"main", "203", "EmpMemento.java:9", "Field Write", "context=EmpMemento:3, empPhoneNo=""131011888886"""
"main", "204", "EmpMemento.java:10", "Line Step", "file=EmpMemento.java, line=10"
"main", "205", "EmpMemento.java:10", "Field Write", "context=EmpMemento:3, empDesignation=""Senior Sales Manager"""
"main", "206", "EmpMemento.java:11", "Line Step", "file=EmpMemento.java, line=11"
"main", "207", "EmpMemento.java:11", "Method Exit", "returner=EmpMemento:3#EmpMemento:3, value=<void>"
"main", "208", "EmpOriginator.java:38", "Method Returned", ""
"main", "209", "EmpOriginator.java:38", "Line Step", "file=EmpOriginator.java, line=38"
"main", "210", "EmpOriginator.java:38", "Variable Write", "context=EmpOriginator:1#saveToMemento:3, empMemento=EmpMemento:3"
"main", "211", "EmpOriginator.java:39", "Line Step", "file=EmpOriginator.java, line=39"
"main", "212", "EmpOriginator.java:39", "Variable Write", "context=EmpOriginator:1#saveToMemento:3, result=EmpMemento:3"
"main", "213", "EmpOriginator.java:39", "Method Exit", "returner=EmpOriginator:1#saveToMemento:3, value=EmpMemento:3"
"main", "214", "EmpOriginatorTest.java:16", "Method Returned", ""
"main", "215", "EmpOriginatorTest.java:16", "Line Step", "file=EmpOriginatorTest.java, line=16"
"main", "216", "EmpOriginatorTest.java:16", "Variable Write", "context=EmpOriginatorTest#main:1, empMemento=EmpMemento:3"
"main", "217", "EmpOriginatorTest.java:17", "Line Step", "file=EmpOriginatorTest.java, line=17"
"main", "218", "EmpOriginatorTest.java:17", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpCaretaker:1#addMemento:3"
"main", "219", "EmpCaretaker.java:12", "Method Entered", ""
"main", "220", "EmpCaretaker.java:12", "Variable Write", "context=EmpCaretaker:1#addMemento:3, memento=EmpMemento:3"
"main", "221", "EmpCaretaker.java:14", "Line Step", "file=EmpCaretaker.java, line=14"
"main", "222", "EmpCaretaker.java:14", "Field Read", "context=EmpCaretaker:1, mementos"
"main", "223", "EmpCaretaker.java:15", "Line Step", "file=EmpCaretaker.java, line=15"
"main", "224", "EmpCaretaker.java:15", "Method Exit", "returner=EmpCaretaker:1#addMemento:3, value=<void>"
"main", "225", "EmpOriginatorTest.java:17", "Method Returned", ""
"main", "226", "EmpOriginatorTest.java:18", "Line Step", "file=EmpOriginatorTest.java, line=18"
"main", "227", "EmpOriginatorTest.java:18", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpOriginator:1#printInfo:3"
"main", "228", "EmpOriginator.java:48", "Method Entered", ""
"main", "229", "EmpOriginator.java:50", "Line Step", "file=EmpOriginator.java, line=50"
"main", "230", "EmpOriginator.java:50", "Field Read", "context=EmpOriginator:1, empId"
"main", "231", "EmpOriginator.java:51", "Line Step", "file=EmpOriginator.java, line=51"
"main", "232", "EmpOriginator.java:51", "Field Read", "context=EmpOriginator:1, empName"
"main", "233", "EmpOriginator.java:52", "Line Step", "file=EmpOriginator.java, line=52"
"main", "234", "EmpOriginator.java:52", "Field Read", "context=EmpOriginator:1, empPhoneNo"
"main", "235", "EmpOriginator.java:53", "Line Step", "file=EmpOriginator.java, line=53"
"main", "236", "EmpOriginator.java:53", "Field Read", "context=EmpOriginator:1, empDesignation"
"main", "237", "EmpOriginator.java:54", "Line Step", "file=EmpOriginator.java, line=54"
"main", "238", "EmpOriginator.java:54", "Method Exit", "returner=EmpOriginator:1#printInfo:3, value=<void>"
"main", "239", "EmpOriginatorTest.java:18", "Method Returned", ""
"main", "240", "EmpOriginatorTest.java:19", "Line Step", "file=EmpOriginatorTest.java, line=19"
"main", "241", "EmpOriginatorTest.java:20", "Line Step", "file=EmpOriginatorTest.java, line=20"
"main", "242", "EmpOriginatorTest.java:20", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpCaretaker:1#getMemento:1"
"main", "243", "EmpCaretaker.java:7", "Method Entered", ""
"main", "244", "EmpCaretaker.java:9", "Line Step", "file=EmpCaretaker.java, line=9"
"main", "245", "EmpCaretaker.java:9", "Field Read", "context=EmpCaretaker:1, mementos"
"main", "246", "EmpCaretaker.java:9", "Variable Write", "context=EmpCaretaker:1#getMemento:1, empMemento=EmpMemento:3"
"main", "247", "EmpCaretaker.java:10", "Line Step", "file=EmpCaretaker.java, line=10"
"main", "248", "EmpCaretaker.java:10", "Variable Write", "context=EmpCaretaker:1#getMemento:1, result=EmpMemento:3"
"main", "249", "EmpCaretaker.java:10", "Method Exit", "returner=EmpCaretaker:1#getMemento:1, value=EmpMemento:3"
"main", "250", "EmpOriginatorTest.java:20", "Method Returned", ""
"main", "251", "EmpOriginatorTest.java:20", "Line Step", "file=EmpOriginatorTest.java, line=20"
"main", "252", "EmpOriginatorTest.java:20", "Variable Write", "context=EmpOriginatorTest#main:1, empMemento=EmpMemento:3"
"main", "253", "EmpOriginatorTest.java:21", "Line Step", "file=EmpOriginatorTest.java, line=21"
"main", "254", "EmpOriginatorTest.java:21", "Method Call", "caller=EmpOriginatorTest#main:1, target=EmpOriginator:1#undoFromMemento:1"
"main", "255", "EmpOriginator.java:41", "Method Entered", ""
"main", "256", "EmpOriginator.java:41", "Variable Write", "context=EmpOriginator:1#undoFromMemento:1, memento=EmpMemento:3"
"main", "257", "EmpOriginator.java:43", "Line Step", "file=EmpOriginator.java, line=43"
"main", "258", "EmpOriginator.java:43", "Method Call", "caller=EmpOriginator:1#undoFromMemento:1, target=EmpMemento:3#getEmpId:1"
"main", "259", "EmpMemento.java:12", "Method Entered", ""
"main", "260", "EmpMemento.java:13", "Line Step", "file=EmpMemento.java, line=13"
"main", "261", "EmpMemento.java:13", "Field Read", "context=EmpMemento:3, empId"
"main", "262", "EmpMemento.java:13", "Variable Write", "context=EmpMemento:3#getEmpId:1, result=306"
"main", "263", "EmpMemento.java:13", "Method Exit", "returner=EmpMemento:3#getEmpId:1, value=306"
"main", "264", "EmpOriginator.java:43", "Method Returned", ""
"main", "265", "EmpOriginator.java:43", "Line Step", "file=EmpOriginator.java, line=43"
"main", "266", "EmpOriginator.java:43", "Field Write", "context=EmpOriginator:1, empId=306"
"main", "267", "EmpOriginator.java:44", "Line Step", "file=EmpOriginator.java, line=44"
"main", "268", "EmpOriginator.java:44", "Method Call", "caller=EmpOriginator:1#undoFromMemento:1, target=EmpMemento:3#getEmpName:1"
"main", "269", "EmpMemento.java:15", "Method Entered", ""
"main", "270", "EmpMemento.java:16", "Line Step", "file=EmpMemento.java, line=16"
"main", "271", "EmpMemento.java:16", "Field Read", "context=EmpMemento:3, empName"
"main", "272", "EmpMemento.java:16", "Variable Write", "context=EmpMemento:3#getEmpName:1, result=""Mark Ferguson"""
"main", "273", "EmpMemento.java:16", "Method Exit", "returner=EmpMemento:3#getEmpName:1, value=""Mark Ferguson"""
"main", "274", "EmpOriginator.java:44", "Method Returned", ""
"main", "275", "EmpOriginator.java:44", "Line Step", "file=EmpOriginator.java, line=44"
"main", "276", "EmpOriginator.java:44", "Field Write", "context=EmpOriginator:1, empName=""Mark Ferguson"""
"main", "277", "EmpOriginator.java:45", "Line Step", "file=EmpOriginator.java, line=45"
"main", "278", "EmpOriginator.java:45", "Method Call", "caller=EmpOriginator:1#undoFromMemento:1, target=EmpMemento:3#getEmpPhoneNo:1"
"main", "279", "EmpMemento.java:21", "Method Entered", ""
"main", "280", "EmpMemento.java:22", "Line Step", "file=EmpMemento.java, line=22"
"main", "281", "EmpMemento.java:22", "Field Read", "context=EmpMemento:3, empPhoneNo"
"main", "282", "EmpMemento.java:22", "Variable Write", "context=EmpMemento:3#getEmpPhoneNo:1, result=""131011888886"""
"main", "283", "EmpMemento.java:22", "Method Exit", "returner=EmpMemento:3#getEmpPhoneNo:1, value=""131011888886"""
"main", "284", "EmpOriginator.java:45", "Method Returned", ""
"main", "285", "EmpOriginator.java:45", "Line Step", "file=EmpOriginator.java, line=45"
"main", "286", "EmpOriginator.java:45", "Field Write", "context=EmpOriginator:1, empPhoneNo=""131011888886"""
"main", "287", "EmpOriginator.java:46", "Line Step", "file=EmpOriginator.java, line=46"
"main", "288", "EmpOriginator.java:46", "Method Call", "caller=EmpOriginator:1#undoFromMemento:1, target=EmpMemento:3#getEmpDesignation:1"
"main", "289", "EmpMemento.java:18", "Method Entered", ""
"main", "290", "EmpMemento.java:19", "Line Step", "file=EmpMemento.java, line=19"
"main", "291", "EmpMemento.java:19", "Field Read", "context=EmpMemento:3, empDesignation"
"main", "292", "EmpMemento.java:19", "Variable Write", "context=EmpMemento:3#getEmpDesignation:1, result=""Senior Sales Manager"""
"main", "293", "EmpMemento.java:19", "Method Exit", "returner=EmpMemento:3#getEmpDesignation:1, value=""Senior Sales Manager"""
"main", "294", "EmpOriginator.java:46", "Method Returned", ""
"main", "295", "EmpOriginator.java:46", "Line Step", "file=EmpOriginator.java, line=46"
