SYSTEM," ""1"""," ""SYSTEM"""," ""System Start"""," """"",,,
main," ""178"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#createToolPalette:1"," target=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1""",,
main," ""179"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""180"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," gap=2""",,
main," ""181"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," border=java.awt.Point (id=167)""",,
main," ""182"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""183"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," target=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1""",,
main," ""184"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""185"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," gap=2""",,
main," ""186"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," vertical=true""",,
main," ""187"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," border=java.awt.Point (id=167)""",,
main," ""188"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""189"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""190"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1"," fGap=2""",,
main," ""191"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""192"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1"," fBorder=java.awt.Point (id=167)""",,
main," ""193"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""194"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1"," fVerticalLayout=true""",,
main," ""195"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""196"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," value=<void>""",,
main," ""197"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""198"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""199"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," value=<void>""",,
main," ""200"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""201"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""202"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""203"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createToolPalette:1"," result=java.awt.Panel (id=163)""",,
main," ""204"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.application.DrawApplication:1#createToolPalette:1"," value=java.awt.Panel (id=163)""",,
main," ""205"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""206"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""207"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#open:1"," tools=java.awt.Panel (id=163)""",,
main," ""208"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""209"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#open:1"," target=CH.ifa.draw.samples.net.NetApp:1#createTools:1""",,
main," ""210"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""211"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.samples.net.NetApp:1#createTools:1"," palette=java.awt.Panel (id=163)""",,
main," ""212"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""213"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.samples.net.NetApp:1#createTools:1"," target=CH.ifa.draw.application.DrawApplication:1#createTools:1""",,
main," ""214"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""215"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createTools:1"," palette=java.awt.Panel (id=163)""",,
main," ""216"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""217"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#createTools:1"," target=CH.ifa.draw.application.DrawApplication:1#createSelectionTool:1""",,
main," ""218"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""219"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""220"""," ""SYSTEM"""," ""Type Load"""," ""class=CH.ifa.draw.standard.AbstractTool""",,,
main," ""221"""," ""SYSTEM"""," ""Type Load"""," ""class=CH.ifa.draw.standard.SelectionTool""",,,
main," ""222"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#createSelectionTool:1"," target=CH.ifa.draw.application.DrawApplication:1#view:1""",,
main," ""223"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""224"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""225"""," ""SYSTEM"""," ""Field Read"""," ""context=CH.ifa.draw.application.DrawApplication:1"," fView""",,
main," ""226"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#view:1"," result=CH.ifa.draw.standard.StandardDrawingView:1""",,
main," ""227"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.application.DrawApplication:1#view:1"," value=CH.ifa.draw.standard.StandardDrawingView:1""",,
main," ""228"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""229"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""230"""," ""SYSTEM"""," ""New Object"""," ""object=CH.ifa.draw.standard.SelectionTool:1""",,,
main," ""231"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#createSelectionTool:1"," target=CH.ifa.draw.standard.SelectionTool:1#CH.ifa.draw.standard.SelectionTool:1""",,
main," ""232"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
